model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_pca_hidden,logreg,299,90,0.69760101010101,0.6942356344827544,0.5779359879032259,0.8025563271604937,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_pca_hidden,mlp,299,90,0.5157828282828283,0.5135692794603858,0.3961043862538428,0.6634098458400345,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_pca_hidden,extratrees,299,90,0.763888888888889,0.7625318366771319,0.6376791752933058,0.8679221445221446,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_pca_hidden,hgb,299,90,0.7215909090909092,0.7210204011793432,0.5873881706206976,0.8431150989759217,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,777,direct_pmax,none,299,90,0.8339646464646464,0.8326971548599492,0.7328560688901039,0.9197542309158142,,,
olmo2_7b_instruct,OLMo,arc_challenge,777,cheap_confidence_option,logreg,299,90,0.7935606060606061,0.7882762316916179,0.6746579326923078,0.8994566459298644,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,777,cheap_confidence_option,mlp,299,90,0.8074494949494949,0.8034883295233448,0.6899354395604396,0.8976756358560793,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,777,cheap_confidence_option,extratrees,299,90,0.7821969696969696,0.7777380205249113,0.6572497444552738,0.8879054520358868,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,777,cheap_confidence_option,hgb,299,90,0.7279040404040403,0.7194861617456894,0.5915098074288535,0.8385938634713145,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,777,hidden_summary_only,logreg,299,90,0.7436868686868687,0.7400274477534926,0.6088579044576449,0.8433396395824991,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,777,hidden_summary_only,mlp,299,90,0.5845959595959597,0.582722763003934,0.435464834837035,0.7124368569813453,0.7357859531772575,,
